('09/23/2011', ('BURGLARY', '40.826284877', '-73.920707634', 'Yankees', 'not_gameday'))
('09/23/2011', ('ASSAULT 3 & RELATED OFFENSES', '40.832741241', '-73.921870763', 'Yankees', 'not_gameday'))
('04/14/2009', ('FRAUDS', '40.832741241', '-73.921870763', 'Yankees', 'not_gameday'))
('04/14/2009', ('GRAND LARCENY', '40.825522069', '-73.925149237', 'Yankees', 'not_gameday'))
('04/14/2009', ('OFFENSES INVOLVING FRAUD', '40.827385306', '-73.924496737', 'Yankees', 'not_gameday'))
('04/14/2009', ('CRIMINAL TRESPASS', '40.831603926', '-73.928799346', 'Yankees', 'not_gameday'))
('04/14/2009', ('ROBBERY', '40.827253266', '-73.924048831', 'Yankees', 'not_gameday'))
('04/14/2009', ('OFFENSES AGAINST PUBLIC ADMINI', '40.82681201', '-73.920923807', 'Yankees', 'not_gameday'))
('04/14/2009', ('DANGEROUS DRUGS', '40.831005149', '-73.928109797', 'Yankees', 'not_gameday'))
('04/14/2009', ('FORGERY', '40.831432265', '-73.926429022', 'Yankees', 'not_gameday'))
('04/14/2009', ('DANGEROUS DRUGS', '40.831648643', '-73.93011103', 'Yankees', 'not_gameday'))
('04/14/2009', ('DANGEROUS DRUGS', '40.826405951', '-73.92115554', 'Yankees', 'not_gameday'))
('04/14/2009', ('GRAND LARCENY', '40.830996292', '-73.922895448', 'Yankees', 'not_gameday'))
('09/30/2012', ('CRIMINAL MISCHIEF & RELATED OF', '40.753227016', '-73.850343935', 'Mets', 'not_gameday'))
('09/30/2012', ('HARRASSMENT 2', '40.833781835', '-73.926578199', 'Yankees', 'not_gameday'))
('09/30/2012', ('OFF. AGNST PUB ORD SENSBLTY &', '40.826828682', '-73.9253465', 'Yankees', 'not_gameday'))
('11/09/2015', ('GRAND LARCENY OF MOTOR VEHICLE', '40.832309283', '-73.92443333', 'Yankees', 'not_gameday'))
('11/09/2015', ('ASSAULT 3 & RELATED OFFENSES', '40.828723865', '-73.923190768', 'Yankees', 'not_gameday'))
('11/09/2015', ('OFF. AGNST PUB ORD SENSBLTY &', '40.82681201', '-73.920923807', 'Yankees', 'not_gameday'))
('11/09/2015', ('OFFENSES AGAINST PUBLIC ADMINI', '40.831982041', '-73.923490551', 'Yankees', 'not_gameday'))
('11/09/2015', ('ASSAULT 3 & RELATED OFFENSES', '40.828723865', '-73.923190768', 'Yankees', 'not_gameday'))
('04/23/2011', ('CRIMINAL TRESPASS', '40.831854352', '-73.921362286', 'Yankees', 'gameday'))
('04/23/2011', ('HARRASSMENT 2', '40.826284877', '-73.920707634', 'Yankees', 'gameday'))
('04/23/2011', ('CRIMINAL TRESPASS', '40.754049569', '-73.847584518', 'Mets', 'gameday'))
('04/23/2011', ('DANGEROUS DRUGS', '40.831603926', '-73.928799346', 'Yankees', 'gameday'))
('04/23/2011', ('ASSAULT 3 & RELATED OFFENSES', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('08/03/2009', ('THEFT-FRAUD', '40.829330897', '-73.9238694', 'Yankees', 'gameday'))
('08/03/2009', ('PETIT LARCENY', '40.754049569', '-73.847584518', 'Mets', 'gameday'))
('08/03/2009', ('HARRASSMENT 2', '40.75973906', '-73.84121122', 'Mets', 'gameday'))
('08/03/2009', ('ROBBERY', '40.832895381', '-73.926716496', 'Yankees', 'gameday'))
('08/03/2009', ('DANGEROUS DRUGS', '40.829952373', '-73.930051383', 'Yankees', 'gameday'))
('08/03/2009', ('DANGEROUS DRUGS', '40.832924494', '-73.929386959', 'Yankees', 'gameday'))
('11/11/2013', ('PETIT LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'not_gameday'))
('11/11/2013', ('PETIT LARCENY', '40.827385306', '-73.924496737', 'Yankees', 'not_gameday'))
('11/11/2013', ('FELONY ASSAULT', '40.755344758', '-73.843246598', 'Mets', 'not_gameday'))
('08/01/2012', ('OFF. AGNST PUB ORD SENSBLTY &', '40.830996292', '-73.922895448', 'Yankees', 'gameday'))
('08/01/2012', ('DANGEROUS WEAPONS', '40.828723865', '-73.923190768', 'Yankees', 'gameday'))
('08/01/2012', ('DANGEROUS DRUGS', '40.829330897', '-73.9238694', 'Yankees', 'gameday'))
('08/01/2012', ('GRAND LARCENY', '40.831786127', '-73.930522836', 'Yankees', 'gameday'))
('08/01/2012', ('FRAUDS', '40.83203302', '-73.92590077', 'Yankees', 'gameday'))
('08/01/2012', ('HARRASSMENT 2', '40.832895381', '-73.926716496', 'Yankees', 'gameday'))
('08/01/2012', ('GRAND LARCENY', '40.830702032', '-73.922039379', 'Yankees', 'gameday'))
('10/07/2015', ('FORGERY', '40.832741241', '-73.921870763', 'Yankees', 'not_gameday'))
('10/07/2015', ('CRIMINAL MISCHIEF & RELATED OF', '40.826828682', '-73.9253465', 'Yankees', 'not_gameday'))
('10/07/2015', ('DANGEROUS WEAPONS', '40.828329812', '-73.920885868', 'Yankees', 'not_gameday'))
('10/07/2015', ('ASSAULT 3 & RELATED OFFENSES', '40.832895381', '-73.926716496', 'Yankees', 'not_gameday'))
('10/07/2015', ('ROBBERY', '40.827819901', '-73.925930756', 'Yankees', 'not_gameday'))
('06/29/2014', ('ARSON', '40.761187629', '-73.846806521', 'Mets', 'gameday'))
('06/29/2014', ('ASSAULT 3 & RELATED OFFENSES', '40.833781835', '-73.926578199', 'Yankees', 'gameday'))
('06/29/2014', ('OFFENSES AGAINST PUBLIC ADMINI', '40.828704996', '-73.927978585', 'Yankees', 'gameday'))
('06/29/2014', ('HARRASSMENT 2', '40.826620524', '-73.921867109', 'Yankees', 'gameday'))
('06/29/2014', ('DANGEROUS DRUGS', '40.828704996', '-73.927978585', 'Yankees', 'gameday'))
('06/29/2014', ('OFFENSES AGAINST PUBLIC ADMINI', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('06/29/2014', ('OFFENSES AGAINST THE PERSON', '40.83364432', '-73.926141093', 'Yankees', 'gameday'))
('07/10/2015', ('PETIT LARCENY', '40.827724143', '-73.922227151', 'Yankees', 'gameday'))
('07/10/2015', ('DANGEROUS DRUGS', '40.83068979', '-73.92426172', 'Yankees', 'gameday'))
('07/10/2015', ('ASSAULT 3 & RELATED OFFENSES', '40.828723865', '-73.923190768', 'Yankees', 'gameday'))
('07/10/2015', ('GAMBLING', '40.831005149', '-73.928109797', 'Yankees', 'gameday'))
('04/04/2011', ('ASSAULT 3 & RELATED OFFENSES', '40.829685886', '-73.921155267', 'Yankees', 'gameday'))
('04/04/2011', ('HARRASSMENT 2', '40.82681201', '-73.920923807', 'Yankees', 'gameday'))
('04/04/2011', ('DANGEROUS WEAPONS', '40.831432265', '-73.926429022', 'Yankees', 'gameday'))
('04/04/2011', ('OFFENSES AGAINST PUBLIC ADMINI', '40.828155367', '-73.926887934', 'Yankees', 'gameday'))
